occ_code,title,zone,cert_importance,cert_normalized
21-1014.00,Mental Health Counselors,5,4.57,3.565891472868217
21-1015.00,Rehabilitation Counselors,4,2.68,1.6124031007751938
21-1021.00,"Child, Family, and School Social Workers",4,2.55,1.478036175710594
21-1022.00,Healthcare Social Workers,5,3.54,2.5012919896640824
21-1023.00,Mental Health and Substance Abuse Social Workers,5,4.25,3.235142118863049
21-1091.00,Health Education Specialists,4,3.57,2.532299741602067
21-1092.00,Probation Officers and Correctional Treatment Specialists,4,2.42,1.3436692506459946
21-1093.00,Social and Human Service Assistants,4,2.51,1.436692506459948
21-1094.00,Community Health Workers,4,2.615,1.5452196382428942
21-2011.00,Clergy,5,2.96,1.9018087855297157
21-2021.00,"Directors, Religious Activities and Education",4,2.54,1.4677002583979326
23-1011.00,Lawyers,5,4.35,3.3385012919896635
23-1012.00,Judicial Law Clerks,5,3.14,2.0878552971576227
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",5,2.96,1.9018087855297157
23-1022.00,"Arbitrators, Mediators, and Conciliators",5,3.4,2.3565891472868215
23-1023.00,"Judges, Magistrate Judges, and Magistrates",5,4.18,3.162790697674418
23-2011.00,Paralegals and Legal Assistants,3,2.53,1.457364341085271
23-2093.00,"Title Examiners, Abstractors, and Searchers",2,2.615,1.5452196382428942
25-1011.00,"Business Teachers, Postsecondary",5,2.54,1.4677002583979326
25-1021.00,"Computer Science Teachers, Postsecondary",5,3.2,2.149870801033592
25-1022.00,"Mathematical Science Teachers, Postsecondary",5,2.57,1.498708010335917
25-1031.00,"Architecture Teachers, Postsecondary",5,3.02,1.9638242894056845
25-1032.00,"Engineering Teachers, Postsecondary",5,1.42,0.3100775193798448
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",5,2.93,1.8708010335917313
25-1042.00,"Biological Science Teachers, Postsecondary",5,2.16,1.074935400516796
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",5,2.31,1.2299741602067182
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",5,2.32,1.2403100775193796
25-1052.00,"Chemistry Teachers, Postsecondary",5,2.24,1.157622739018088
25-1053.00,"Environmental Science Teachers, Postsecondary",5,2.53,1.457364341085271
25-1054.00,"Physics Teachers, Postsecondary",5,2.37,1.2919896640826873
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",5,2.23,1.1472868217054262
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",5,2.98,1.9224806201550386
25-1063.00,"Economics Teachers, Postsecondary",5,1.76,0.6614987080103358
25-1064.00,"Geography Teachers, Postsecondary",5,2.15,1.0645994832041341
25-1065.00,"Political Science Teachers, Postsecondary",5,3.61,2.573643410852713
25-1066.00,"Psychology Teachers, Postsecondary",5,2.81,1.7467700258397931
25-1067.00,"Sociology Teachers, Postsecondary",5,2.71,1.643410852713178
25-1071.00,"Health Specialties Teachers, Postsecondary",5,4.48,3.472868217054264
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",5,3.64,2.6046511627906974
25-1081.00,"Education Teachers, Postsecondary",5,3.52,2.4806201550387597
25-1082.00,"Library Science Teachers, Postsecondary",5,3.51,2.470284237726098
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",5,3.06,2.0051679586563305
25-1112.00,"Law Teachers, Postsecondary",5,3.92,2.8940568475452193
25-1113.00,"Social Work Teachers, Postsecondary",5,3.36,2.3152454780361755
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",5,3.29,2.242894056847545
25-1122.00,"Communications Teachers, Postsecondary",5,3.0,1.9431524547803616
25-1123.00,"English Language and Literature Teachers, Postsecondary",5,2.9,1.8397932816537466
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",5,2.17,1.085271317829457
25-1125.00,"History Teachers, Postsecondary",5,2.08,0.9922480620155039
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",5,2.7,1.6330749354005167
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",5,2.86,1.7984496124031004
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",5,3.78,2.7493540051679584
25-1194.00,"Career/Technical Education Teachers, Postsecondary",3,4.26,3.2454780361757103
25-2011.00,"Preschool Teachers, Except Special Education",3,2.79,1.7260981912144702
25-2012.00,"Kindergarten Teachers, Except Special Education",4,4.66,3.6589147286821704
25-2021.00,"Elementary School Teachers, Except Special Education",4,4.37,3.359173126614987
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",4,3.41,2.3669250645994833
25-2023.00,"Career/Technical Education Teachers, Middle School",4,4.1,3.080103359173126
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",4,4.44,3.4315245478036176
25-2032.00,"Career/Technical Education Teachers, Secondary School",4,3.66,2.6253229974160206
25-2051.00,"Special Education Teachers, Preschool",5,2.615,1.5452196382428942
25-2055.00,"Special Education Teachers, Kindergarten",4,2.615,1.5452196382428942
25-2056.00,"Special Education Teachers, Elementary School",4,4.27,3.2558139534883717
25-2057.00,"Special Education Teachers, Middle School",4,3.91,2.883720930232558
25-2058.00,"Special Education Teachers, Secondary School",4,4.23,3.214470284237726
25-2059.01,Adapted Physical Education Specialists,5,4.0,2.9767441860465116
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4,2.58,1.5090439276485788
25-3021.00,Self-Enrichment Teachers,3,2.99,1.9328165374677002
25-3031.00,"Substitute Teachers, Short-Term",4,2.52,1.4470284237726097
25-3041.00,Tutors,3,2.09,1.002583979328165
25-4011.00,Archivists,5,2.19,1.1059431524547803
25-4012.00,Curators,5,2.15,1.0645994832041341
25-4013.00,Museum Technicians and Conservators,4,2.615,1.5452196382428942
25-4022.00,Librarians and Media Collections Specialists,5,3.75,2.718346253229974
25-4031.00,Library Technicians,3,2.615,1.5452196382428942
25-9021.00,Farm and Home Management Educators,5,2.26,1.1782945736434105
25-9031.00,Instructional Coordinators,5,4.38,3.369509043927648
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",3,2.21,1.1266149870801032
25-9043.00,"Teaching Assistants, Special Education",3,2.23,1.1472868217054262
25-9044.00,"Teaching Assistants, Postsecondary",5,2.615,1.5452196382428942
27-1011.00,Art Directors,4,3.12,2.0671834625322996
27-1012.00,Craft Artists,3,1.48,0.37209302325581384
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",3,2.615,1.5452196382428942
27-1014.00,Special Effects Artists and Animators,4,1.88,0.7855297157622737
27-1021.00,Commercial and Industrial Designers,4,1.63,0.5271317829457361
27-1022.00,Fashion Designers,3,2.02,0.9302325581395348
27-1023.00,Floral Designers,2,2.615,1.5452196382428942
27-1024.00,Graphic Designers,4,2.3,1.2196382428940564
27-1025.00,Interior Designers,4,3.64,2.6046511627906974
27-1026.00,Merchandise Displayers and Window Trimmers,3,2.615,1.5452196382428942
27-1027.00,Set and Exhibit Designers,5,2.19,1.1059431524547803
27-2011.00,Actors,2,2.615,1.5452196382428942
27-2012.00,Producers and Directors,4,1.9,0.8062015503875967
