SOC_2018,Census_2010,Census_2018,Title_2018
27-3042,2840,2840,Technical Writers
27-3043,2850,2850,Writers and Authors
27-3091,2860,2861,Interpreters and Translators
27-3099,2860,2865,"Media and Communication Workers, All Other"
27-4010,2900,2905,"Broadcast, Sound, and Lighting Technicians"
27-4021,2910,2910,Photographers
27-4030,2920,2920,"Television, Video, and Film Camera Operators and Editors"
27-4099,2960,2970,"Media and Communication Equipment Workers, All Other"
29-1011,3000,3000,Chiropractors
29-1020,3010,3010,Dentists
29-1031,3030,3030,Dietitians and Nutritionists
29-1041,3040,3040,Optometrists
29-1051,3050,3050,Pharmacists
29-1214,3060,3065,Emergency Medicine Physicians
29-1224,3060,3070,Radiologists
29-12XX,3060,3090,Other Physicians
29-1240,3060,3100,Surgeons
29-1071,3110,3110,Physician Assistants
29-1081,3120,3120,Podiatrists
29-1122,3150,3150,Occupational Therapists
29-1123,3160,3160,Physical Therapists
29-1124,3200,3200,Radiation Therapists
29-1125,3210,3210,Recreational Therapists
29-1126,3220,3220,Respiratory Therapists
29-1127,3230,3230,Speech-Language Pathologists
29-1128,3235,3235,Exercise Physiologists
29-1129,3245,3245,"Therapists, All Other"
29-1131,3250,3250,Veterinarians
29-1141,3255,3255,Registered Nurses
29-1151,3256,3256,Nurse Anesthetists
29-1161,3257,3257,Nurse Midwives
29-1171,3258,3258,Nurse Practitioners
29-1181,3140,3140,Audiologists
29-1291,3260,3261,Acupuncturists
29-1299,3260,3270,"Healthcare Diagnosing or Treating Practitioners, All Other"
29-2010,3300,3300,Clinical Laboratory Technologists and Technicians
29-1292,3310,3310,Dental Hygienists
29-2031,3320,3321,Cardiovascular Technologists and Technicians
29-2032,3320,3322,Diagnostic Medical Sonographers
29-2034,3320,3323,Radiologic Technologists and Technicians
29-2035,3320,3324,Magnetic Resonance Imaging Technologists
29-203X,3320,3330,Nuclear Medicine Technologists and Medical Dosimetrists
29-2042,3400,3401,Emergency Medical Technicians
29-2043,3400,3402,Paramedics
29-2052,3420,3421,Pharmacy Technicians
29-2053,3420,3422,Psychiatric Technicians
29-2055,3420,3423,Surgical Technologists
29-2056,3420,3424,Veterinary Technologists and Technicians
29-205X,3420,3430,Dietetic Technicians and Ophthalmic Medical Technicians
29-2061,3500,3500,Licensed Practical and Licensed Vocational Nurses
29-2072,3510,3515,Medical Records Specialists
29-2081,3520,3520,"Opticians, Dispensing"
29-2090,3535,3545,Miscellaneous Health Technologists and Technicians
29-9000,3540,3550,Other Healthcare Practitioners and Technical Occupations
19-5010,3540,1980,Occupational Health and Safety Specialists and Technicians
31-1121,3600,3601,Home Health Aides
31-1131,3600,3603,Nursing Assistants
31-113X,3600,3605,Orderlies and Psychiatric Aides
31-2010,3610,3610,Occupational Therapy Assistants and Aides
