occ1990dd,csh,rti
508,-0.03099819611310061,0.12231636047363281
509,-0.031152986539584406,1.3376251459121704
514,0.0022736888853218517,2.5471553802490234
516,-0.02751585508182373,0.4853978753089905
519,-0.014241949922621054,4.211153507232666
523,-0.03872692098683812,1.7087457180023193
525,-0.029427135682170914,2.068124771118164
526,-0.033885855206180204,1.2832801342010498
527,-0.041770802338259666,-0.25805068016052246
533,-0.011665226929309599,0.6779228448867798
534,-0.042604989882280966,0.47341132164001465
535,-0.009142968927225457,3.5833985805511475
536,-0.02276924940013582,1.2346819639205933
539,-0.024242340040925105,1.2595875263214111
543,-0.04887507314837286,0.5188801288604736
544,-0.029458631635565093,0.004113912582397461
549,-0.03489048976593834,0.6356433629989624
558,-0.10742331689924901,-0.6907341480255127
563,-0.05332291741843154,0.510943591594696
567,-0.06586249317877262,-0.29101890325546265
573,-0.03405549971933775,0.9513437747955322
575,-0.07003839854381569,-0.029989957809448242
577,-0.05017879342107355,-0.5405623912811279
584,-0.012545351157450042,0.1409202218055725
585,-0.04935940331010072,0.2763247489929199
588,-0.036004205688254756,0.8542203307151794
589,-0.03724558422785724,0.9807314872741699
593,-0.02080359963840506,0.28195929527282715
595,-0.0586854410286257,0.23105867207050323
597,-0.047244862537056745,0.1455976963043213
598,-0.053371842051742814,0.2568885087966919
599,-0.06723673371915792,0.525304913520813
614,-0.04799148990149062,0.6030521988868713
615,-0.048767204470282245,-0.17440462112426758
628,-0.058289874788578465,-0.3240234851837158
634,0.011515422827006242,3.6158504486083984
637,-0.0030844450788265424,1.8784815073013306
643,-0.0348057669860625,
645,0.02017134299553869,3.9201173782348633
649,0.030623165417564917,2.3060805797576904
653,-0.04933130000176945,0.0828620195388794
657,0.0030336637743910884,0.12044340372085571
658,0.027537989105542563,3.948617935180664
666,-0.000969981926712262,1.0282801389694214
668,0.0135762966507384,2.7490129470825195
675,0.023154330082097024,1.820586085319519
677,0.0038661192414221517,3.2059524059295654
678,0.02305837514803521,0.7004116773605347
679,0.004580207215812553,1.2987408638000488
686,0.03678291167566663,
687,0.01349293098238466,3.6656606197357178
688,0.0025679096942073276,1.7955422401428223
694,-0.010838264839633373,0.6728203892707825
695,-0.04788917989630698,-0.25049448013305664
696,-0.04336838059433701,0.8024029731750488
699,-0.03277592274765406,0.8397965431213379
706,0.018758863566091327,1.0079054832458496
708,0.018758863566091327,2.6715619564056396
709,0.018758863566091327,3.823320150375366
719,0.02017134299553869,1.8326514959335327
727,0.008349588432622927,1.3486649990081787
729,-0.004381880666557177,1.8226333856582642
734,0.008855059523891042,2.039856433868408
736,0.03471034329212373,2.2764861583709717
744,0.0034564854463411086,1.6630092859268188
747,0.03816586589801749,2.9435880184173584
753,-0.010101748933204664,1.7955422401428223
754,0.013381649285424081,2.1427547931671143
755,0.01732603105388623,1.8394365310668945
756,0.016067005422919965,2.643397569656372
757,-0.012784163500767595,1.6501145362854004
763,0.004491185487782634,2.926121234893799
765,0.00545613856372848,1.7955422401428223
766,0.0003085330265781873,0.8024029731750488
769,0.024972531454696453,2.008664846420288
774,0.05503487880549976,2.911877393722534
779,0.004468455018205423,1.030458688735962
783,-0.0013680050572736349,1.6858793497085571
789,0.013387632825013089,-0.09564352035522461
799,0.0009142445573646994,1.947017788887024
803,-0.0636684221480342,-0.45274877548217773
804,-0.032146796585753666,-0.5552695989608765
808,-0.09168248252028922,-1.3853509426116943
809,-0.09327282111256996,-1.2223777770996094
813,-0.06857019089862257,
823,-0.10197499662383369,-2.095019817352295
824,-0.10513399510857385,-1.6930139064788818
829,-0.05145158460742033,-1.302496314048767
865,-0.024809372502370804,1.0282630920410156
866,-0.044942685892516133,0.6373519897460938
869,-0.0515201060830435,0.6651623845100403
875,-0.03186102938271804,2.3487820625305176
878,0.0213081376491435,1.8493067026138306
885,-0.02750771027788846,2.1798009872436523
887,-0.02961845228997885,2.3264613151550293
888,-0.005291534506656892,3.527519702911377
889,-0.010442302478559597,0.8128648400306702
